Year,Sex,Mean_Income,Total_Mean
2019,1,65144,54229.5
2019,2,43315,54229.5
2018,1,61180,50491.5
2018,2,39803,50491.5
2017,1,58927,48232
2017,2,37537,48232
2016,1,57147,46652
2016,2,36157,46652
2015,1,54757,44605
2015,2,34453,44605
2014,1,53196,42892
2014,2,32588,42892
2013,1,50779,41373.5
2013,2,31968,41373.5
2012,1,49915,40641.5
2012,2,31368,40641.5
2011,1,48948,39750.5
2011,2,30553,39750.5
2010,1,47077,38411
2010,2,29745,38411
2009,1,46800,38261.5
2009,2,29723,38261.5
2008,1,47751,38419
2008,2,29087,38419
2007,1,47137,38193
2007,2,29249,38193
2006,1,46677,37546.5
2006,2,28416,37546.5
2005,1,44850,35555.5
2005,2,26261,35555.5
2004,1,42831,33929
2004,2,25027,33929
2003,1,41483,33056.5
2003,2,24630,33056.5
2002,1,41057,32338
2002,2,23619,32338
2001,1,40859,32230.5
2001,2,23602,32230.5
2000,1,40254,31341
2000,2,22428,31341
1999,1,38384,29848
1999,2,21312,29848
1998,1,36315,28388.5
1998,2,20462,28388.5
1997,1,34794,27152.5
1997,2,19511,27152.5
1996,1,32800,25584.5
1996,2,18369,25584.5
1995,1,31454,24359.5
1995,2,17265,24359.5
1994,1,30367,23422.5
1994,2,16478,23422.5
1993,1,28939,22350
1993,2,15761,22350
1992,1,26810,20866
1992,2,14922,20866
1991,1,26369,20409
1991,2,14449,20409
1990,1,26041,19977
1990,2,13913,19977
1989,1,25746,19486
1989,2,13226,19486
1988,1,24054,18182.5
1988,2,12311,18182.5
1987,1,22798,17168
1987,2,11538,17168
1986,1,21822,16281.5
1986,2,10741,16281.5
1985,1,20652,15412.5
1985,2,10173,15412.5
1984,1,19438,14511
1984,2,9584,14511
1983,1,18109,13444.5
1983,2,8780,13444.5
1982,1,17381,12788
1982,2,8195,12788
1981,1,16515,11977.5
1981,2,7440,11977.5
1980,1,15340,11056
1980,2,6772,11056
1979,1,14311,10168.5
1979,2,6026,10168.5
1978,1,13113,9356
1978,2,5599,9356
1977,1,12063,8677
1977,2,5291,8677
1976,1,11165,8020
1976,2,4875,8020
1975,1,10429,7471
1975,2,4513,7471
1974,1,9861,7011
1974,2,4161,7011
1973,1,9289,6544
1973,2,3799,6544
1972,1,8635,6106
1972,2,3577,6106
1971,1,7892,5612.5
1971,2,3333,5612.5
1970,1,7537,5337.5
1970,2,3138,5337.5
1969,1,7202,5073.5
1969,2,2945,5073.5
1968,1,6626,4679
1968,2,2732,4679
1967,1,6054,4268.5
1967,2,2483,4268.5
