State_Name,State_ab,County,City,Mean,Median,Stdev
Alabama,AL,Mobile County,Chickasaw,38773,30506,33101
Alabama,AL,Barbour County,Louisville,37725,19528,43789
Alabama,AL,Shelby County,Columbiana,54606,31930,57348
Alabama,AL,Mobile County,Satsuma,63919,52814,47707
Alabama,AL,Mobile County,Dauphin Island,77948,67225,54270
Alabama,AL,Cullman County,Cullman,50715,42643,35886
Alabama,AL,Escambia County,East Brewton,33737,23610,28256
Alabama,AL,Elmore County,Coosada,46319,40242,38941
Alabama,AL,Morgan County,Eva,57994,39591,47235
Alabama,AL,Talladega County,Sylacauga,54807,41712,51359
Alabama,AL,DeKalb County,Rainsville,47929,38947,44430
Alabama,AL,Etowah County,Gadsden,42251,28811,41397
Alabama,AL,Butler County,Georgiana,27993,19757,27656
Alabama,AL,Coosa County,Rockford,31229,22745,27452
Alabama,AL,Hale County,Greensboro,36439,21136,45043
Alabama,AL,Marion County,Guin,56934,39047,53934
Alabama,AL,Geneva County,Hartford,41057,21608,45280
Alabama,AL,Jefferson County,Helena,93682,300000,55763
Alabama,AL,Etowah County,Hokes Bluff,57202,46738,44401
Alabama,AL,Covington County,Opp,49699,34049,48287
Alabama,AL,Etowah County,Attalla,51926,300000,28590
Alabama,AL,Lamar County,Millport,44572,34725,36562
Alabama,AL,Jackson County,Section,56029,31635,62581
Alabama,AL,Covington County,Andalusia,51098,43794,32431
Alabama,AL,Covington County,Lockhart,45465,36849,45634
Alabama,AL,Washington County,Mcintosh,67392,48713,54529
Alabama,AL,Chilton County,Maplesville,43767,30427,38304
Alabama,AL,Jefferson County,Fairfield,48074,39817,37964
Alabama,AL,Mobile County,Mobile,53330,38231,50855
Alabama,AL,Lawrence County,Moulton,42079,28180,39942
Alabama,AL,Colbert County,Muscle Shoals,60729,49109,48170
Alabama,AL,Hale County,Newbern,32466,17389,31851
Alabama,AL,Tuscaloosa County,Northport,62410,54115,47114
Alabama,AL,Lee County,Opelika,55199,40430,48856
Alabama,AL,Sumter County,Panola,22603,6190,29054
Alabama,AL,Lee County,Ozark,86605,79218,52491
Alabama,AL,Autauga County,Deatsville,63066,57698,41175
Alabama,AL,Elmore County,Prattville,53597,39054,39602
Alabama,AL,Franklin County,Red Bay,39220,29055,33077
Alabama,AL,Covington County,Andalusia,39218,25895,48015
Alabama,AL,Blount County,Cleveland,55127,44609,39231
Alabama,AL,Mobile County,Satsuma,59567,52275,43545
Alabama,AL,Shelby County,Shelby,63758,45844,53244
Alabama,AL,Lee County,Smiths Station,57098,45637,48651
Alabama,AL,Franklin County,Phil Campbell,72297,300000,21067
Alabama,AL,Walker County,Sumiton,51907,39657,46146
Alabama,AL,Tallapoosa County,Tallassee,55849,50493,42845
Alabama,AL,Mobile County,Mobile,55230,47636,45298
Alabama,AL,Tuscaloosa County,Tuscaloosa,55815,38843,54867
Alabama,AL,Chambers County,Valley,49554,39263,40901
Alabama,AL,St. Clair County,Vincent,0,0,0
Alabama,AL,Chambers County,Camp Hill,71026,60438,56646
Alabama,AL,Cullman County,Cullman,58314,49030,50015
Alabama,AL,Randolph County,Woodland,48217,33446,42907
Alabama,AL,Chambers County,Wadley,14741,11398,10903
Alabama,AL,Pickens County,Aliceville,28347,20997,28311
Alabama,AL,Jefferson County,Odenville,242857,300000,25317
Alabama,AL,Lee County,Auburn,59694,38029,60946
Alabama,AL,Mobile County,Bayou La Batre,50047,35147,43788
Alabama,AL,Jefferson County,Bessemer,41239,29150,38565
Alabama,AL,Greene County,Boligee,32777,12379,58584
Alabama,AL,Marion County,Brilliant,33353,25776,27149
Alabama,AL,Shelby County,Calera,65576,64695,38729
Alabama,AL,Pickens County,Carrollton,41709,27321,44007
Alabama,AL,Autauga County,Moody,45862,32942,40674
Alabama,AL,Autauga County,Odenville,62222,56867,43036
Alabama,AL,Autauga County,Hoover,90262,71401,66042
Alabama,AL,Autauga County,Birmingham,92018,74570,65160
Alabama,AL,Autauga County,Chelsea,78399,71839,54844
Alabama,AL,Autauga County,Maylene,85122,75896,58979
Alabama,AL,Autauga County,Ohatchee,66000,54091,47663
Alabama,AL,Autauga County,Panola,34064,28981,28466
Alabama,AL,Autauga County,Talladega,38882,27264,45128
Alabama,AL,Autauga County,Sylacauga,40948,31044,36118
Alabama,AL,Autauga County,Dadeville,48421,35722,44616
Alabama,AL,Autauga County,Northport,77977,74807,59517
Alabama,AL,Autauga County,Holt,37965,29413,34880
Alabama,AL,Autauga County,Tuscaloosa,24931,12361,34393
Alabama,AL,Autauga County,Tuscaloosa,60252,45803,55310
Alabama,AL,Autauga County,Holt,53301,40174,43882
Alabama,AL,Autauga County,Nauvoo,40072,29226,37412
Alabama,AL,Autauga County,Lanett,35951,23009,38779
Alabama,AL,Autauga County,Millry,48623,40342,41443
Alabama,AL,Autauga County,Arley,49046,36818,42393
Alabama,AL,Autauga County,Prattville,58180,51927,40722
Alabama,AL,Autauga County,Elmore,41464,35150,30951
Alabama,AL,Autauga County,Marbury,59061,300000,36002
Alabama,AL,Autauga County,Perdido,55216,43407,52450
Alabama,AL,Autauga County,Bay Minette,36474,24377,31702
Alabama,AL,Autauga County,Daphne,107603,97539,63498
Alabama,AL,Autauga County,Loxley,50583,41882,37860
Alabama,AL,Autauga County,Robertsdale,69996,300000,37937
Alabama,AL,Autauga County,Clanton,56638,41768,48428
