State_Name,Mean_Income
Alabama,53612.92586
Alaska,77670.20952
Arizona,62578.07131
Arkansas,52060.36176
California,78126.7378
Colorado,73322.82129
Connecticut,89227.21972
Delaware,70142.34091
Florida,60887.88983
Georgia,60354.3912
Hawaii,77859.58696
Idaho,56211.44295
Illinois,69067.38155
Indiana,59153.83239
Iowa,62569.14537
Kansas,61704.8189
Kentucky,55250.16298
Louisiana,55432.26419
Maine,60708.52229
Maryland,87689.6041
Massachusetts,84878.68358
Michigan,59001.12436
Minnesota,71403.99844
Mississippi,48924.00312
Missouri,56674.88286
Montana,57350.55405
Nebraska,61719.38545
Nevada,65684.12075
New Hampshire,76113.50382
New Jersey,88657.64414
New Mexico,57127.075
New York,76201.22083
North Carolina,57750.10492
North Dakota,65137.06723
Ohio,59675.8636
Oklahoma,55121.33125
Oregon,63597.0491
Pennsylvania,64878.69492
Rhode Island,72971.17431
South Carolina,55715.24837
South Dakota,58276.96094
Tennessee,56271.95246
Texas,65407.01043
Utah,72132.21456
Vermont,63195.49398
Virginia,79401.74013
Washington,74067.36192
West Virginia,52291.99597
Wisconsin,64143.25519
Wyoming,67552.66667
